id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
S130,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1
S131,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
S132,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
S133,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1
S134,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1
S135,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S136,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1
S137,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1
S138,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S139,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
S140,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
S141,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
S142,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
S143,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
S144,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1
S145,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0
S146,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1
S147,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
S148,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
S149,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
S150,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
S151,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
S152,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1
S153,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1
S154,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1
S155,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
S156,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1
S157,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
S158,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
S159,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S160,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
